x,y,xd,yd,xdd,ydd
300,300,0,0,0,0
300,300,0,0,0,0
300,300,0,0,0,0
300,300,0,0,0,0
300,300,0,0.06332,0,-80
300,300.0000048123,0,0.06636,0,-80
300,300.000029631,0,0.08132,0,-80
300,300.0000354047,0,0.08416,0,-80
300,300.0000388552,0,0.0858,0,-80
300,300.000042373,0,0.08744,0,-80
300,300.0000458706,0,0.08904,0,-80
300,300.0000495213,0,0.09068,0,-80
300,300.0000532392,0,0.09232,0,-80
300,300.000056932,0,0.09392,0,-80
300,300.0000606888,0,0.09552,0,-80
300,300.0000668976,0,0.09812,0,-80
300,300.0000708224,0,0.09972,0,-80
300,300.0000747114,0,0.10128,0,-80
300,300.0000786614,0,0.10284,0,-80
300,300.0000826721,0,0.1044,0,-80
300,300.0000867437,0,0.10596,0,-80
300,300.0000908762,0,0.10752,0,-80
300,300.0000950694,0,0.10908,0,-80
300,300.0001005234,0,0.11108,0,-80
300,300.0001094098,0,0.11428,0,-80
300,300.000113981,0,0.11588,0,-80
300,300.0001186162,0,0.11748,0,-80
300,300.000123198,0,0.11904,0,-80
300,300.0001277215,0,0.12056,0,-80
300,300.0001362812,0,0.1234,0,-80
300,300.0001413406,0,0.12504,0,-80
300,300.0001463422,0,0.12664,0,-80
300,300.0001514078,0,0.12824,0,-80
300,300.000158974,0,0.1306,0,-80
300,300.0001670712,0,0.13308,0,-80
300,300.0001727936,0,0.1348,0,-80
300,300.0001780508,0,0.13636,0,-80
300,300.0001835052,0,0.13796,0,-80
300,300.0001890236,0,0.13956,0,-80
300,300.0001947456,0,0.1412,0,-80
300,300.0002002524,0,0.14276,0,-80
300,300.0002059628,0,0.14436,0,-80
300,300.0002117372,0,0.14596,0,-80
300,300.0002175756,0,0.14756,0,-80
300,300.000223478,0,0.14916,0,-80
300,300.0002292952,0,0.15072,0,-80
300,300.0002395442,0,0.15344,0,-80
300,300.0002456818,0,0.15504,0,-80
300,300.0002518834,0,0.15664,0,-80
300,300.0002579924,0,0.1582,0,-80
300,300.0002643204,0,0.1598,0,-80
300,300.0002707124,0,0.1614,0,-80
300,300.0002771684,0,0.163,0,-80
300,300.0002835254,0,0.16456,0,-80
300,300.0002935635,0,0.167,0,-80
300,300.0003044185,0,0.1696,0,-80
300,300.0003118809,0,0.17136,0,-80
300,300.0003189067,0,0.173,0,-80
300,300.0003258267,0,0.1746,0,-80
300,300.0003328107,0,0.1762,0,-80
300,300.0003398587,0,0.1778,0,-80
300,300.0003503489,0,0.18016,0,-80
300,300.0003598974,0,0.18228,0,-80
300,300.0003673708,0,0.18392,0,-80
300,300.0003749116,0,0.18556,0,-80
300,300.000382334,0,0.18716,0,-80
300,300.0003898204,0,0.18876,0,-80
300,300.0003973708,0,0.19036,0,-80
300,300.0004089827,0,0.1928,0,-80
300,300.0004182371,0,0.19472,0,-80
300,300.000428752,0,0.19688,0,-80
300,300.0004374147,0,0.19864,0,-80
300,300.0004453603,0,0.20024,0,-80
300,300.0004533699,0,0.20184,0,-80
300,300.0004612417,0,0.2034,0,-80
300,300.0004693777,0,0.205,0,-80
300,300.0004773727,0,0.20656,0,-80
300,300.0004856351,0,0.20816,0,-80
300,300.0004939615,0,0.20976,0,-80
300,300.0005023519,0,0.21136,0,-80
300,300.0005105949,0,0.21292,0,-80
300,300.0005193246,0,0.21456,0,-80
300,300.000527907,0,0.21616,0,-80
300,300.0005369858,0,0.21784,0,-80
300,300.0005456994,0,0.21944,0,-80
300,300.0005540381,0,0.22096,0,-80
300,300.0005628765,0,0.22256,0,-80
300,300.0005720014,0,0.2242,0,-80
300,300.0005809694,0,0.2258,0,-80
300,300.0005900014,0,0.2274,0,-80
300,300.00059887,0,0.22896,0,-80
300,300.0006077995,0,0.23052,0,-80
300,300.0006170203,0,0.23212,0,-80
300,300.0006325723,0,0.2348,0,-80
300,300.0006436079,0,0.23668,0,-80
300,300.0006530751,0,0.23828,0,-80
300,300.0006626063,0,0.23988,0,-80
300,300.0006719616,0,0.24144,0,-80
300,300.0006816192,0,0.24304,0,-80
300,300.0006913408,0,0.24464,0,-80
300,300.0007011264,0,0.24624,0,-80
300,300.000710976,0,0.24784,0,-80
300,300.0007208896,0,0.24944,0,-80
300,300.0007306178,0,0.251,0,-80
300,300.0007406578,0,0.2526,0,-80
300,300.0007507618,0,0.2542,0,-80
300,300.0007609298,0,0.2558,0,-80
300,300.0007719292,0,0.25752,0,-80
300,300.00078223,0,0.25912,0,-80
300,300.0007925948,0,0.26072,0,-80
300,300.0008030236,0,0.26232,0,-80
300,300.0008132541,0,0.26388,0,-80
300,300.0008235454,0,0.26544,0,-80
300,300.0008338976,0,0.267,0,-80
300,300.0008443106,0,0.26856,0,-80
300,300.0008547844,0,0.27012,0,-80
300,300.0008653191,0,0.27168,0,-80
300,300.0008759146,0,0.27324,0,-80
300,300.000886571,0,0.2748,0,-80
300,300.0008972882,0,0.27636,0,-80
300,300.0009080662,0,0.27792,0,-80
300,300.0009233518,0,0.28012,0,-80
300,300.0009345566,0,0.28172,0,-80
300,300.0009458254,0,0.28332,0,-80
300,300.0009571582,0,0.28492,0,-80
300,300.000968555,0,0.28652,0,-80
300,300.0009800158,0,0.28812,0,-80
300,300.0009915406,0,0.28972,0,-80
300,300.0010028397,0,0.29128,0,-80
300,300.0010144909,0,0.29288,0,-80
300,300.0010259132,0,0.29444,0,-80
300,300.0010373964,0,0.296,0,-80
300,300.0010489404,0,0.29756,0,-80
300,300.0010614379,0,0.29924,0,-80
300,300.0010731082,0,0.3008,0,-80
300,300.0010851402,0,0.3024,0,-80
300,300.0010969338,0,0.30396,0,-80
300,300.0011090922,0,0.30556,0,-80
300,300.0011213146,0,0.30716,0,-80
300,300.001133601,0,0.30876,0,-80
300,300.0011456427,0,0.31032,0,-80
300,300.0011577452,0,0.31188,0,-80
300,300.0011699085,0,0.31344,0,-80
300,300.0011821326,0,0.315,0,-80
300,300.0011944176,0,0.31656,0,-80
300,300.0012067635,0,0.31812,0,-80
300,300.0012191702,0,0.31968,0,-80
300,300.0012316377,0,0.32124,0,-80
300,300.0012444873,0,0.32284,0,-80
300,300.001257078,0,0.3244,0,-80
300,300.001270054,0,0.326,0,-80
300,300.00128342,0,0.32764,0,-80
300,300.001296198,0,0.3292,0,-80
300,300.0013090368,0,0.33076,0,-80
300,300.0013222672,0,0.33236,0,-80
300,300.0013355616,0,0.33396,0,-80
300,300.001348586,0,0.33552,0,-80
300,300.0013620068,0,0.33712,0,-80
300,300.0013754916,0,0.33872,0,-80
300,300.0013893792,0,0.34036,0,-80
300,300.0014026532,0,0.34192,0,-80
300,300.0014156462,0,0.34344,0,-80
300,300.0014293838,0,0.34504,0,-80
300,300.0014431854,0,0.34664,0,-80
300,300.0014567043,0,0.3482,0,-80
300,300.0014702841,0,0.34976,0,-80
300,300.0014842745,0,0.35136,0,-80
300,300.0014979776,0,0.35292,0,-80
300,300.0015117414,0,0.35448,0,-80
300,300.0015255662,0,0.35604,0,-80
300,300.0015390957,0,0.35756,0,-80
300,300.001552683,0,0.35908,0,-80
300,300.001566328,0,0.3606,0,-80
300,300.0015800308,0,0.36212,0,-80
300,300.0015937914,0,0.36364,0,-80
300,300.0016076097,0,0.36516,0,-80
300,300.0016214858,0,0.36668,0,-80
300,300.0016354196,0,0.3682,0,-80
300,300.0016494112,0,0.36972,0,-80
300,300.0016634606,0,0.37124,0,-80
300,300.0016775677,0,0.37276,0,-80
300,300.0016917326,0,0.37428,0,-80
300,300.0017059552,0,0.3758,0,-80
300,300.0017292548,0,0.37828,0,-80
300,300.0017455208,0,0.38,0,-80
300,300.0017603408,0,0.38156,0,-80
300,300.0017748401,0,0.38308,0,-80
300,300.0017897802,0,0.38464,0,-80
300,300.0018047812,0,0.3862,0,-80
300,300.0018194568,0,0.38772,0,-80
300,300.0018341902,0,0.38924,0,-80
300,300.0018489813,0,0.39076,0,-80
300,300.0018638302,0,0.39228,0,-80
300,300.0018787368,0,0.3938,0,-80
300,300.0018933074,0,0.39528,0,-80
300,300.001908328,0,0.3968,0,-80
300,300.0019285648,0,0.39884,0,-80
300,300.0019441196,0,0.4004,0,-80
300,300.0019589344,0,0.40188,0,-80
300,300.001973804,0,0.40336,0,-80
300,300.0019891316,0,0.40488,0,-80
300,300.0020045171,0,0.4064,0,-80
300,300.0020199603,0,0.40792,0,-80
300,300.0020354612,0,0.40944,0,-80
300,300.0020506105,0,0.41092,0,-80
300,300.0020658146,0,0.4124,0,-80
300,300.0020814858,0,0.41392,0,-80
300,300.0020968008,0,0.4154,0,-80
300,300.002112586,0,0.41692,0,-80
300,300.002128429,0,0.41844,0,-80
300,300.0021439112,0,0.41992,0,-80
300,300.002176665,0,0.42304,0,-80
300,300.0021923175,0,0.42452,0,-80
300,300.0022084492,0,0.42604,0,-80
300,300.0022404022,0,0.42904,0,-80
300,300.002270006,0,0.4318,0,-80
300,300.0022864144,0,0.43332,0,-80
300,300.0023024472,0,0.4348,0,-80
300,300.0023181,0,0.43624,0,-80
300,300.0023342409,0,0.43772,0,-80
300,300.0023504366,0,0.4392,0,-80
300,300.002366687,0,0.44068,0,-80
300,300.0023829921,0,0.44216,0,-80
300,300.002399352,0,0.44364,0,-80
300,300.0024157667,0,0.44512,0,-80
300,300.0024491507,0,0.44812,0,-80
300,300.0024661793,0,0.44964,0,-80
300,300.0024832656,0,0.45116,0,-80
300,300.0025004097,0,0.45268,0,-80
