x,y,xd,yd,xdd,ydd
300,300,0,0,0,0
300,300,0,0,0,0
300,300,0,0,0,0
300,300,0,0,0,0
300,300,0.04948,0,-80,0
300.0000038594,300,0.0526,0,-80,0
300.0000081726,300,0.05588,0,-80,0
300.0000186222,300,0.06336,0,-80,0
300.0000326248,300,0.0722,0,-80,0
300.0000357294,300,0.07392,0,-80,0
300.0000387601,300,0.07556,0,-80,0
300.0000419336,300,0.07724,0,-80,0
300.0000451004,300,0.07888,0,-80,0
300.0000483345,300,0.08052,0,-80,0
300.0000517164,300,0.0822,0,-80,0
300.0000550044,300,0.0838,0,-80,0
300.0000605352,300,0.08644,0,-80,0
300.0000639928,300,0.08804,0,-80,0
300.0000674263,300,0.0896,0,-80,0
300.0000709207,300,0.09116,0,-80,0
300.000074476,300,0.09272,0,-80,0
300.000078092,300,0.09428,0,-80,0
300.0000818632,300,0.09588,0,-80,0
300.0000856026,300,0.09744,0,-80,0
300.0000894027,300,0.099,0,-80,0
300.0000934617,300,0.10064,0,-80,0
300.0000973867,300,0.1022,0,-80,0
300.0001014747,300,0.1038,0,-80,0
300.0001055229,300,0.10536,0,-80,0
300.0001096319,300,0.10692,0,-80,0
300.0001138018,300,0.10848,0,-80,0
300.0001180325,300,0.11004,0,-80,0
300.0001224341,300,0.11164,0,-80,0
300.0001267881,300,0.1132,0,-80,0
300.0001312029,300,0.11476,0,-80,0
300.0001355638,300,0.11628,0,-80,0
300.0001399824,300,0.1178,0,-80,0
300.0001444588,300,0.11932,0,-80,0
300.0001491123,300,0.12088,0,-80,0
300.0001538266,300,0.12244,0,-80,0
300.0001584793,300,0.12396,0,-80,0
300.0001633138,300,0.12552,0,-80,0
300.000168209,300,0.12708,0,-80,0
300.0001731652,300,0.12864,0,-80,0
300.0001786967,300,0.13036,0,-80,0
300.0001926452,300,0.13464,0,-80,0
300.0001997811,300,0.13676,0,-80,0
300.0002030634,300,0.13772,0,-80,0
300.000209123,300,0.13948,0,-80,0
300.0002186077,300,0.1422,0,-80,0
300.0002245801,300,0.14388,0,-80,0
300.0002304792,300,0.14552,0,-80,0
300.0002364455,300,0.14716,0,-80,0
300.000242479,300,0.1488,0,-80,0
300.000248431,300,0.1504,0,-80,0
300.0002613654,300,0.15384,0,-80,0
300.0002678267,300,0.15552,0,-80,0
300.000281979,300,0.15916,0,-80,0
300.0002889821,300,0.16092,0,-80,0
300.0002955798,300,0.16256,0,-80,0
300.0003020822,300,0.16416,0,-80,0
300.0003086486,300,0.16576,0,-80,0
300.000315279,300,0.16736,0,-80,0
300.0003221408,300,0.169,0,-80,0
300.0003556028,300,0.17692,0,-80,0
300.0003681641,300,0.17976,0,-80,0
300.0003755342,300,0.1814,0,-80,0
300.000383153,300,0.18308,0,-80,0
300.0003904762,300,0.18468,0,-80,0
300.0003980481,300,0.18632,0,-80,0
300.0004055009,300,0.18792,0,-80,0
300.0004132056,300,0.18956,0,-80,0
300.000420788,300,0.19116,0,-80,0
300.0004286256,300,0.1928,0,-80,0
300.0004365304,300,0.19444,0,-80,0
300.0004445024,300,0.19608,0,-80,0
300.0004523456,300,0.19768,0,-80,0
300.0004600552,300,0.19924,0,-80,0
300.0004680248,300,0.20084,0,-80,0
300.0004842928,300,0.20408,0,-80,0
300.0004922519,300,0.20564,0,-80,0
300.0005002719,300,0.2072,0,-80,0
300.0005083527,300,0.20876,0,-80,0
300.0005162856,300,0.21028,0,-80,0
300.0005242762,300,0.2118,0,-80,0
300.0005325364,300,0.21336,0,-80,0
300.0005408574,300,0.21492,0,-80,0
300.0005492393,300,0.21648,0,-80,0
300.0005574656,300,0.218,0,-80,0
300.0005661856,300,0.2196,0,-80,0
300.00057475,300,0.22116,0,-80,0
300.0005833752,300,0.22272,0,-80,0
300.000592284,300,0.22432,0,-80,0
300.0006012568,300,0.22592,0,-80,0
300.0006100677,300,0.22748,0,-80,0
300.0006189394,300,0.22904,0,-80,0
300.000628101,300,0.23064,0,-80,0
300.0006373266,300,0.23224,0,-80,0
300.000646384,300,0.2338,0,-80,0
300.0006555022,300,0.23536,0,-80,0
300.0006651519,300,0.237,0,-80,0
300.0006852969,300,0.2404,0,-80,0
300.0007021249,300,0.2432,0,-80,0
300.0007130689,300,0.245,0,-80,0
300.0007316889,300,0.24804,0,-80,0
300.0007418586,300,0.24968,0,-80,0
300.0007520954,300,0.25132,0,-80,0
300.0007621482,300,0.25292,0,-80,0
300.000772265,300,0.25452,0,-80,0
300.0007824458,300,0.25612,0,-80,0
300.0007926906,300,0.25772,0,-80,0
300.0008125351,300,0.2608,0,-80,0
300.0008320951,300,0.2638,0,-80,0
300.0008500335,300,0.26652,0,-80,0
300.0008606943,300,0.26812,0,-80,0
300.0008813395,300,0.2712,0,-80,0
300.0008997811,300,0.27392,0,-80,0
300.0009466214,300,0.28076,0,-80,0
300.0009592556,300,0.28256,0,-80,0
300.0009708406,300,0.2842,0,-80,0
300.0009822086,300,0.2858,0,-80,0
300.0009939264,300,0.28744,0,-80,0
300.001005424,300,0.28904,0,-80,0
300.0010265239,300,0.29196,0,-80,0
300.0010379104,300,0.29352,0,-80,0
300.0010496512,300,0.29512,0,-80,0
300.001061456,300,0.29672,0,-80,0
300.0010733248,300,0.29832,0,-80,0
300.0010852576,300,0.29992,0,-80,0
300.0011026529,300,0.30224,0,-80,0
300.0011147425,300,0.30384,0,-80,0
300.0011268961,300,0.30544,0,-80,0
300.0011388083,300,0.307,0,-80,0
300.0011510883,300,0.3086,0,-80,0
300.0011631237,300,0.31016,0,-80,0
300.0011752199,300,0.31172,0,-80,0
300.0012618781,300,0.32284,0,-80,0
300.0012851226,300,0.32572,0,-80,0
300.0012981514,300,0.32732,0,-80,0
300.0013112442,300,0.32892,0,-80,0
300.001324072,300,0.33048,0,-80,0
300.0013372912,300,0.33208,0,-80,0
300.0013505744,300,0.33368,0,-80,0
300.0013776025,300,0.33692,0,-80,0
300.0013934378,300,0.3388,0,-80,0
300.0014069898,300,0.3404,0,-80,0
300.0014206058,300,0.342,0,-80,0
300.0014342858,300,0.3436,0,-80,0
300.0014476862,300,0.34516,0,-80,0
300.0014611474,300,0.34672,0,-80,0
300.0014746695,300,0.34828,0,-80,0
300.0014882524,300,0.34984,0,-80,0
300.0015018962,300,0.3514,0,-80,0
300.0015159522,300,0.353,0,-80,0
300.0015297192,300,0.35456,0,-80,0
300.0015431924,300,0.35608,0,-80,0
300.0015570796,300,0.35764,0,-80,0
300.0015710275,300,0.3592,0,-80,0
300.0015850363,300,0.36076,0,-80,0
300.0015987452,300,0.36228,0,-80,0
300.0016128741,300,0.36384,0,-80,0
300.0016267,300,0.36536,0,-80,0
300.0016409491,300,0.36692,0,-80,0
300.001654892,300,0.36844,0,-80,0
300.0016688928,300,0.36996,0,-80,0
300.0016829512,300,0.37148,0,-80,0
300.0016970675,300,0.373,0,-80,0
300.0017116145,300,0.37456,0,-80,0
300.001742703,300,0.37788,0,-80,0
300.0017574403,300,0.37944,0,-80,0
300.001771859,300,0.38096,0,-80,0
300.0017863355,300,0.38248,0,-80,0
300.0018008697,300,0.384,0,-80,0
300.0018162297,300,0.3856,0,-80,0
300.0018316537,300,0.3872,0,-80,0
300.0018471417,300,0.3888,0,-80,0
300.0018623049,300,0.39036,0,-80,0
300.0018771386,300,0.39188,0,-80,0
300.00189203,300,0.3934,0,-80,0
300.0019069792,300,0.39492,0,-80,0
300.0019219862,300,0.39644,0,-80,0
300.0019370509,300,0.39796,0,-80,0
300.0019525714,300,0.39952,0,-80,0
300.0019677531,300,0.40104,0,-80,0
300.0019833937,300,0.4026,0,-80,0
300.0019990951,300,0.40416,0,-80,0
300.0020148573,300,0.40572,0,-80,0
300.0020302747,300,0.40724,0,-80,0
300.002046157,300,0.4088,0,-80,0
300.0020616914,300,0.41032,0,-80,0
300.0020776939,300,0.41188,0,-80,0
300.0020937572,300,0.41344,0,-80,0
300.002109468,300,0.41496,0,-80,0
300.0021256514,300,0.41652,0,-80,0
300.0021418957,300,0.41808,0,-80,0
300.0021899749,300,0.42268,0,-80,0
300.0022060367,300,0.4242,0,-80,0
300.0022225805,300,0.42576,0,-80,0
300.0022391852,300,0.42732,0,-80,0
300.0022554233,300,0.42884,0,-80,0
300.0022717192,300,0.43036,0,-80,0
300.0022889336,300,0.43196,0,-80,0
300.0023079399,300,0.43372,0,-80,0
300.0023517456,300,0.43776,0,-80,0
300.0023775734,300,0.44012,0,-80,0
300.0023960585,300,0.4418,0,-80,0
300.0024137305,300,0.4434,0,-80,0
300.0024319099,300,0.44504,0,-80,0
300.0024497115,300,0.44664,0,-80,0
300.0024680237,300,0.44828,0,-80,0
300.0024859549,300,0.44988,0,-80,0
300.0025035002,300,0.45144,0,-80,0
300.0025215578,300,0.45304,0,-80,0
300.0025396794,300,0.45464,0,-80,0
300.0025574104,300,0.4562,0,-80,0
300.0025752022,300,0.45776,0,-80,0
300.0025930548,300,0.45932,0,-80,0
300.0026109683,300,0.46088,0,-80,0
300.0026294035,300,0.46248,0,-80,0
300.0026673269,300,0.46576,0,-80,0
300.0026854915,300,0.46732,0,-80,0
300.0027032497,300,0.46884,0,-80,0
300.0027215344,300,0.4704,0,-80,0
300.00273988,300,0.47196,0,-80,0
300.0027578145,300,0.47348,0,-80,0
300.0027767537,300,0.47508,0,-80,0
300.0027952818,300,0.47664,0,-80,0
300.0028138708,300,0.4782,0,-80,0
300.0028320424,300,0.47972,0,-80,0
